start year,start month,end year,end month,from,Hard Broadcast News,Left Wing Cable,No or Minimal News,Other Cable,Right Wing Cable,Soft Broadcast News,Spanish News
2016,1,2018,12,Right Wing Cable,,,5100531.841,241789.579,,,67564.525
2016,1,2018,12,Soft Broadcast News,1123074.764,,8489934.095,,119163.230,,
2016,1,2018,12,Spanish News,356672.454,321703.997,5070555.769,107505.309,,403742.449,
2016,1,2019,1,Hard Broadcast News,,5847227.236,12399072.302,,845473.046,,
2016,1,2019,1,Left Wing Cable,,,4841742.179,,1487211.772,,
2016,1,2019,1,Other Cable,1028715.510,979818.205,8124079.825,,,,
2016,1,2019,1,Right Wing Cable,,,4910848.808,170508.612,,,45016.622
2016,1,2019,1,Soft Broadcast News,6210507.312,403353.842,10831115.353,306981.186,430309.133,,
2016,1,2019,1,Spanish News,274522.487,303837.997,4940530.511,22410.793,,256013.901,
2016,1,2019,2,Hard Broadcast News,,5297252.474,12760751.128,,1029329.664,,
2016,1,2019,2,Left Wing Cable,,,5408492.995,,1566848.216,,
2016,1,2019,2,Other Cable,1152300.212,571977.102,8209346.880,,,,
2016,1,2019,2,Right Wing Cable,,,5124504.108,103266.803,,,92097.518
2016,1,2019,2,Soft Broadcast News,7488379.725,333830.875,11521354.360,515913.310,542515.751,,
2016,1,2019,2,Spanish News,357016.103,165912.105,5142288.229,9444.512,,269185.787,
2016,1,2019,3,Hard Broadcast News,,4697478.893,14394923.702,155909.988,614929.592,,
2016,1,2019,3,Left Wing Cable,,,5688317.413,,1585219.043,,
2016,1,2019,3,Other Cable,,152329.871,7957298.393,,,,
2016,1,2019,3,Right Wing Cable,,,5274767.797,203140.085,,,74575.337
2016,1,2019,3,Soft Broadcast News,6571853.434,114051.754,11507873.754,598973.845,389554.405,,
2016,1,2019,3,Spanish News,299270.817,190898.963,5615443.428,126004.717,,303008.105,
2016,1,2019,4,Hard Broadcast News,,4689398.902,17392625.085,683554.880,874584.362,,
2016,1,2019,4,Left Wing Cable,,,6100791.664,14066.165,1614309.803,,
2016,1,2019,4,Other Cable,,,8423567.159,,,,
2016,1,2019,4,Right Wing Cable,,,5578977.782,268506.918,,,66814.651
2016,1,2019,4,Soft Broadcast News,6086115.162,84411.901,12049347.101,681920.329,351482.594,,
2016,1,2019,4,Spanish News,242902.912,216631.440,5806911.484,97617.529,,306599.318,
2016,1,2019,5,Hard Broadcast News,,4447506.781,15873278.914,213295.669,364696.757,,
2016,1,2019,5,Left Wing Cable,,,6437465.583,35591.742,1653743.546,,
2016,1,2019,5,Other Cable,,,8568996.942,,,,
2016,1,2019,5,Right Wing Cable,,,5740198.302,311619.554,,,61476.481
2016,1,2019,5,Soft Broadcast News,6717031.901,36646.783,11916602.993,718813.986,255172.336,,
2016,1,2019,5,Spanish News,259028.464,204286.899,5604203.732,137264.250,,330532.565,
2016,1,2019,6,Hard Broadcast News,,4169824.614,16561898.885,379175.079,334273.883,,
2016,1,2019,6,Left Wing Cable,,,6267527.973,22516.404,1587634.575,,
2016,1,2019,6,Other Cable,,,9017287.217,,,,
2016,1,2019,6,Right Wing Cable,,,5824102.789,321697.223,,,41340.154
2016,1,2019,6,Soft Broadcast News,7902641.588,148294.393,12670815.941,1047200.918,266910.350,,
2016,1,2019,6,Spanish News,287333.442,179969.978,5752763.702,192626.067,,288196.456,
2016,1,2019,7,Hard Broadcast News,,6334049.088,19628311.642,920832.206,1133834.720,,
2016,1,2019,7,Left Wing Cable,,,6012044.858,,1596475.235,,
2016,1,2019,7,Other Cable,,626333.385,9821816.026,,13249.998,,
2016,1,2019,7,Right Wing Cable,,,5694737.296,,,,49434.696
2016,1,2019,7,Soft Broadcast News,7269738.878,260522.932,12792437.759,991382.291,410628.567,,
2016,1,2019,7,Spanish News,193241.153,203812.431,5870271.166,159892.005,,237080.368,
2016,1,2019,8,Hard Broadcast News,,6281070.863,20017388.577,1582970.238,1168516.655,,
2016,1,2019,8,Left Wing Cable,,,7258065.213,,1665749.300,,
2016,1,2019,8,Other Cable,,26558.675,10019129.381,,,,
2016,1,2019,8,Right Wing Cable,,,5879726.392,111568.680,,,65881.438
2016,1,2019,8,Soft Broadcast News,6619309.588,176347.673,12849261.243,1083729.840,308878.793,,
2016,1,2019,8,Spanish News,263609.895,197240.850,6107442.876,155464.650,,255995.788,
2016,1,2019,9,Hard Broadcast News,,5587051.882,16647966.660,,774485.153,,
2016,1,2019,9,Left Wing Cable,,,6946274.613,,1669739.394,,
2016,1,2019,9,Other Cable,25713.716,329061.577,10223099.956,,,,
2016,1,2019,9,Right Wing Cable,,,5773634.739,104979.993,,,83267.571
2016,1,2019,9,Soft Broadcast News,8012388.693,317160.345,12382419.502,800332.512,250384.449,,
2016,1,2019,9,Spanish News,264330.711,225790.059,6084622.747,126080.238,,280246.965,
2016,1,2019,10,Hard Broadcast News,,6671592.475,17382469.532,,972666.698,,
2016,1,2019,10,Left Wing Cable,,,6592213.935,,1645795.485,,
2016,1,2019,10,Other Cable,236082.184,554692.808,10232968.745,,,,
2016,1,2019,10,Right Wing Cable,,,5757552.683,88095.400,,,56603.436
2016,1,2019,10,Soft Broadcast News,6926562.739,365904.724,12272255.524,593730.071,372828.687,,
2016,1,2019,10,Spanish News,180512.122,207350.180,6419819.895,152460.278,,303773.732,
2016,1,2019,11,Hard Broadcast News,,6276874.055,16436483.448,,945464.827,,
2016,1,2019,11,Left Wing Cable,,,6688629.013,,1687988.125,,
2016,1,2019,11,Other Cable,442454.839,533013.093,9834966.525,,26009.632,,
2016,1,2019,11,Right Wing Cable,,,5715378.749,,,,60371.861
2016,1,2019,11,Soft Broadcast News,8606897.244,328733.393,12034711.223,743776.682,324020.231,,
2016,1,2019,11,Spanish News,212801.809,234124.877,6306820.759,147222.413,,298466.629,
2016,1,2019,12,Hard Broadcast News,,5628099.801,15585430.323,,1083845.235,,
2016,1,2019,12,Left Wing Cable,,,6614545.053,,1662149.436,,
2016,1,2019,12,Other Cable,1201811.777,612050.718,10136196.926,,183173.944,,
2016,1,2019,12,Right Wing Cable,,,5391805.060,,,,72680.792
2016,1,2019,12,Soft Broadcast News,7883216.381,150359.902,12031159.994,459213.588,374912.631,,
2016,1,2019,12,Spanish News,330581.211,229295.467,6820600.887,29107.043,,334386.050,
2016,1,2020,1,Hard Broadcast News,,6928354.575,16311520.516,,2063510.202,,
2016,1,2020,1,Left Wing Cable,,,6055381.859,,1698540.082,,
2016,1,2020,1,Other Cable,922517.454,646561.008,10087181.248,,388715.525,,
2016,1,2020,1,Right Wing Cable,,,4759218.092,,,,55952.437
2016,1,2020,1,Soft Broadcast News,9290908.671,574527.612,12421863.736,690396.491,719977.502,,
2016,1,2020,1,Spanish News,312275.792,262558.048,6209511.758,54570.107,,302235.663,
2016,1,2020,2,Hard Broadcast News,,5579930.882,17323166.755,,2101165.151,,
2016,1,2020,2,Left Wing Cable,,,6781805.782,,1676190.986,,
2016,1,2020,2,Other Cable,733880.520,7444.024,10324505.928,,431219.726,,
