year,month,variable,archetype,value
2016,8,sizes,Soft Broadcast News,41016963.83873
2016,9,sizes,Soft Broadcast News,38400405.03338
2016,10,sizes,Soft Broadcast News,35808335.19351
2016,11,sizes,Soft Broadcast News,34183388.63334
2016,12,sizes,Soft Broadcast News,43790455.38707
2017,1,sizes,Soft Broadcast News,36405973.45160
2017,2,sizes,Soft Broadcast News,37422261.89289
2017,3,sizes,Soft Broadcast News,38859785.32252
2017,4,sizes,Soft Broadcast News,37656847.13335
2017,5,sizes,Soft Broadcast News,38349008.06458
2017,6,sizes,Soft Broadcast News,33963691.69998
2017,7,sizes,Soft Broadcast News,34327994.00005
2017,8,sizes,Soft Broadcast News,34664126.19358
2017,9,sizes,Soft Broadcast News,37642595.83338
2017,10,sizes,Soft Broadcast News,38128313.51427
2017,11,sizes,Soft Broadcast News,41414107.63329
2017,12,sizes,Soft Broadcast News,38760020.51612
2018,1,sizes,Soft Broadcast News,39801901.25812
2018,2,sizes,Soft Broadcast News,38539485.50002
2018,3,sizes,Soft Broadcast News,38562687.48382
2018,4,sizes,Soft Broadcast News,36498833.93335
2018,5,sizes,Soft Broadcast News,41305106.06448
2018,6,sizes,Soft Broadcast News,34115713.30007
2018,7,sizes,Soft Broadcast News,33537489.32265
2018,8,sizes,Soft Broadcast News,33864113.32259
2018,9,sizes,Soft Broadcast News,32751086.79999
2018,10,sizes,Soft Broadcast News,38262485.87099
2018,11,sizes,Soft Broadcast News,36150211.23336
2018,12,sizes,Soft Broadcast News,34791111.41934
2019,1,sizes,Soft Broadcast News,27106634.96774
2019,2,sizes,Soft Broadcast News,24661935.92857
2019,3,sizes,Soft Broadcast News,25105483.09677
2019,4,sizes,Soft Broadcast News,25863912.03333
2019,5,sizes,Soft Broadcast News,25357127.09677
2019,6,sizes,Soft Broadcast News,23093269.43333
2019,7,sizes,Soft Broadcast News,22952481.25806
2019,8,sizes,Soft Broadcast News,23704373.12903
2019,9,sizes,Soft Broadcast News,21789398.76667
2019,10,sizes,Soft Broadcast News,22576846.93548
2019,11,sizes,Soft Broadcast News,21048365.00000
2019,12,sizes,Soft Broadcast News,21023407.06452
2020,1,sizes,Soft Broadcast News,20115626.16129
2020,2,sizes,Soft Broadcast News,19851499.58621
2020,3,sizes,Soft Broadcast News,18264294.93548
2020,4,sizes,Soft Broadcast News,20193397.60000
2020,5,sizes,Soft Broadcast News,19333733.29032
2020,6,sizes,Soft Broadcast News,17821406.23333
2020,7,sizes,Soft Broadcast News,17297494.12903
2020,8,sizes,Soft Broadcast News,15923939.61290
2020,9,sizes,Soft Broadcast News,16237899.23333
2020,10,sizes,Soft Broadcast News,14467717.83871
2020,11,sizes,Soft Broadcast News,14364199.46667
2020,12,sizes,Soft Broadcast News,19066215.25806
2021,1,sizes,Soft Broadcast News,13274427.29032
2021,2,sizes,Soft Broadcast News,14673908.71429
2021,3,sizes,Soft Broadcast News,16703035.00000
2021,4,sizes,Soft Broadcast News,16287682.90000
2021,5,sizes,Soft Broadcast News,17871691.67742
2021,6,sizes,Soft Broadcast News,18048978.63333
2021,7,sizes,Soft Broadcast News,19114012.38710
2021,8,sizes,Soft Broadcast News,18417126.48387
2021,9,sizes,Soft Broadcast News,18894011.16667
2021,10,sizes,Soft Broadcast News,18866876.90323
2021,11,sizes,Soft Broadcast News,18843289.90000
2021,12,sizes,Soft Broadcast News,19493757.00000
2022,1,sizes,Soft Broadcast News,18845154.22581
2022,2,sizes,Soft Broadcast News,18001605.32143
2022,3,sizes,Soft Broadcast News,16385182.67742
2022,4,sizes,Soft Broadcast News,16645852.73333
2022,5,sizes,Soft Broadcast News,17113605.19355
2022,6,sizes,Soft Broadcast News,15285154.66667
2022,7,sizes,Soft Broadcast News,15250056.38710
2022,8,sizes,Soft Broadcast News,16420100.61290
2022,9,sizes,Soft Broadcast News,14944320.26667
2022,10,sizes,Soft Broadcast News,16802068.67742
2022,11,sizes,Soft Broadcast News,17645287.63333
2022,12,sizes,Soft Broadcast News,18346715.22581
2023,1,sizes,Soft Broadcast News,17326190.96774
2023,2,sizes,Soft Broadcast News,16822561.82143
2023,3,sizes,Soft Broadcast News,16391280.29032
2023,4,sizes,Soft Broadcast News,16378285.26667
2023,5,sizes,Soft Broadcast News,16217034.70968
2023,6,sizes,Soft Broadcast News,15335825.46667
2023,7,sizes,Soft Broadcast News,15692436.41935
2023,8,sizes,Soft Broadcast News,15758212.41935
2023,9,sizes,Soft Broadcast News,15521570.90000
2023,10,sizes,Soft Broadcast News,14869126.45161
2023,11,sizes,Soft Broadcast News,16730599.60000
2023,12,sizes,Soft Broadcast News,16024133.67742
2024,1,sizes,Soft Broadcast News,17116309.32258
2024,2,sizes,Soft Broadcast News,14135910.03448
2024,3,sizes,Soft Broadcast News,13674587.00000
2024,4,sizes,Soft Broadcast News,14591055.43333
2024,5,sizes,Soft Broadcast News,15017330.22581
2024,6,sizes,Soft Broadcast News,13459693.50000
2024,7,sizes,Soft Broadcast News,11651509.29032
2024,8,sizes,Soft Broadcast News,12422845.00000
2024,9,sizes,Soft Broadcast News,12177552.73333
2024,10,sizes,Soft Broadcast News,13222551.06452
2024,11,sizes,Soft Broadcast News,12651478.36667
2024,12,sizes,Soft Broadcast News,14780881.06452
2025,1,sizes,Soft Broadcast News,10834948.00000
2025,2,sizes,Soft Broadcast News,11796057.50000
2025,3,sizes,Soft Broadcast News,10928249.48387
2025,4,sizes,Soft Broadcast News,11405716.36667
2025,5,sizes,Soft Broadcast News,11780504.41935
2025,6,sizes,Soft Broadcast News,10938929.46667
2025,7,sizes,Soft Broadcast News,11127678.80645
2025,8,sizes,Soft Broadcast News,11704629.64516
2025,9,sizes,Soft Broadcast News,11698157.63333
2016,1,sizes,Partisan Cable (right),22272877.93546
2016,2,sizes,Partisan Cable (right),19573348.25003
2016,3,sizes,Partisan Cable (right),23242964.12900
2016,4,sizes,Partisan Cable (right),19853937.13334
2016,5,sizes,Partisan Cable (right),20016492.03229
2016,6,sizes,Partisan Cable (right),20665053.00000
2016,7,sizes,Partisan Cable (right),23921267.00004
2016,8,sizes,Partisan Cable (right),21027086.09677
2016,9,sizes,Partisan Cable (right),22435830.40001
2016,10,sizes,Partisan Cable (right),24142208.25808
2016,11,sizes,Partisan Cable (right),30058698.70002
2016,12,sizes,Partisan Cable (right),23648766.51615
2017,1,sizes,Partisan Cable (right),26823597.51609
2017,2,sizes,Partisan Cable (right),25424430.49997
2017,3,sizes,Partisan Cable (right),23785916.54835
2017,4,sizes,Partisan Cable (right),24345476.99997
2017,5,sizes,Partisan Cable (right),23299642.77419
2017,6,sizes,Partisan Cable (right),23401391.29998
2017,7,sizes,Partisan Cable (right),21885265.45156
2017,8,sizes,Partisan Cable (right),23614358.77418
2017,9,sizes,Partisan Cable (right),24278413.70002
2017,10,sizes,Partisan Cable (right),24748802.20002
2017,11,sizes,Partisan Cable (right),23197799.29993
2017,12,sizes,Partisan Cable (right),22790181.19352
2018,1,sizes,Partisan Cable (right),23092000.77416
