year,month,state,medium,partisanship_scenario,diet_threshold,left_pct,right_pct
2016,1,NM,web,lenient,75,0.021,0.042
2016,1,NM,web,stringent,50,0.013,0.029
2016,1,NM,web,stringent,75,0.012,0.029
2016,1,NV,tv,lenient,50,0.000,0.000
2016,1,NV,tv,lenient,75,0.000,0.000
2016,1,NV,tv,stringent,50,0.000,0.000
2016,1,NV,tv,stringent,75,0.000,0.000
2016,1,NV,web,lenient,50,0.014,0.015
2016,1,NV,web,lenient,75,0.009,0.007
2016,1,NV,web,stringent,50,0.002,0.011
2016,1,NV,web,stringent,75,0.001,0.005
2016,1,NY,tv,lenient,50,0.000,0.000
2016,1,NY,tv,lenient,75,0.000,0.000
2016,1,NY,tv,stringent,50,0.000,0.000
2016,1,NY,tv,stringent,75,0.000,0.000
2016,1,NY,web,lenient,50,0.027,0.012
2016,1,NY,web,lenient,75,0.015,0.006
2016,1,NY,web,stringent,50,0.014,0.006
2016,1,NY,web,stringent,75,0.007,0.003
2016,1,OH,tv,lenient,50,0.000,0.000
2016,1,OH,tv,lenient,75,0.000,0.000
2016,1,OH,tv,stringent,50,0.000,0.000
2016,1,OH,tv,stringent,75,0.000,0.000
2016,1,OH,web,lenient,50,0.016,0.018
2016,1,OH,web,lenient,75,0.006,0.013
2016,1,OH,web,stringent,50,0.006,0.009
2016,1,OH,web,stringent,75,0.002,0.006
2016,1,OK,tv,lenient,50,0.000,0.000
2016,1,OK,tv,lenient,75,0.000,0.000
2016,1,OK,tv,stringent,50,0.000,0.000
2016,1,OK,tv,stringent,75,0.000,0.000
2016,1,OK,web,lenient,50,0.015,0.025
2016,1,OK,web,lenient,75,0.008,0.018
2016,1,OK,web,stringent,50,0.006,0.014
2016,1,OK,web,stringent,75,0.004,0.006
2016,1,OR,tv,lenient,50,0.000,0.000
2016,1,OR,tv,lenient,75,0.000,0.000
2016,1,OR,tv,stringent,50,0.000,0.000
2016,1,OR,tv,stringent,75,0.000,0.000
2016,1,OR,web,lenient,50,0.031,0.026
2016,1,OR,web,lenient,75,0.021,0.021
2016,1,OR,web,stringent,50,0.015,0.013
2016,1,OR,web,stringent,75,0.010,0.005
2016,1,PA,tv,lenient,50,0.000,0.000
2016,1,PA,tv,lenient,75,0.000,0.000
2016,1,PA,tv,stringent,50,0.000,0.000
2016,1,PA,tv,stringent,75,0.000,0.000
2016,1,PA,web,lenient,50,0.015,0.025
2016,1,PA,web,lenient,75,0.010,0.014
2016,1,PA,web,stringent,50,0.007,0.015
2016,1,PA,web,stringent,75,0.003,0.004
2016,1,RI,tv,lenient,50,0.000,0.000
2016,1,RI,tv,lenient,75,0.000,0.000
2016,1,RI,tv,stringent,50,0.000,0.000
2016,1,RI,tv,stringent,75,0.000,0.000
2016,1,RI,web,lenient,50,0.024,0.004
2016,1,RI,web,lenient,75,0.013,0.002
2016,1,RI,web,stringent,50,0.005,0.004
2016,1,RI,web,stringent,75,0.001,0.002
2016,1,SC,tv,lenient,50,0.000,0.000
2016,1,SC,tv,lenient,75,0.000,0.000
2016,1,SC,tv,stringent,50,0.000,0.000
2016,1,SC,tv,stringent,75,0.000,0.000
2016,1,SC,web,lenient,50,0.013,0.023
2016,1,SC,web,lenient,75,0.005,0.020
2016,1,SC,web,stringent,50,0.007,0.016
2016,1,SC,web,stringent,75,0.001,0.011
2016,1,SD,tv,lenient,50,0.000,0.000
2016,1,SD,tv,lenient,75,0.000,0.000
2016,1,SD,tv,stringent,50,0.000,0.000
2016,1,SD,tv,stringent,75,0.000,0.000
2016,1,SD,web,lenient,50,0.014,0.034
2016,1,SD,web,lenient,75,0.014,0.020
2016,1,SD,web,stringent,50,0.014,0.000
2016,1,SD,web,stringent,75,0.014,0.000
2016,1,TN,tv,lenient,50,0.000,0.000
2016,1,TN,tv,lenient,75,0.000,0.000
2016,1,TN,tv,stringent,50,0.000,0.000
2016,1,TN,tv,stringent,75,0.000,0.000
2016,1,TN,web,lenient,50,0.033,0.023
2016,1,TN,web,lenient,75,0.027,0.015
2016,1,TN,web,stringent,50,0.010,0.010
2016,1,TN,web,stringent,75,0.007,0.009
2016,1,TX,tv,lenient,50,0.000,0.000
2016,1,TX,tv,lenient,75,0.000,0.000
2016,1,TX,tv,stringent,50,0.000,0.000
2016,1,TX,tv,stringent,75,0.000,0.000
2016,1,TX,web,lenient,50,0.015,0.025
2016,1,TX,web,lenient,75,0.010,0.015
2016,1,TX,web,stringent,50,0.005,0.011
2016,1,TX,web,stringent,75,0.003,0.005
2016,1,UT,tv,lenient,50,0.000,0.000
2016,1,UT,tv,lenient,75,0.000,0.000
2016,1,UT,tv,stringent,50,0.000,0.000
2016,1,UT,tv,stringent,75,0.000,0.000
2016,1,UT,web,lenient,50,0.029,0.135
2016,1,UT,web,lenient,75,0.020,0.096
2016,1,UT,web,stringent,50,0.005,0.013
2016,1,UT,web,stringent,75,0.001,0.004
2016,1,VA,tv,lenient,50,0.000,0.000
2016,1,VA,tv,lenient,75,0.000,0.000
2016,1,VA,tv,stringent,50,0.000,0.000
2016,1,VA,tv,stringent,75,0.000,0.000
2016,1,VA,web,lenient,50,0.033,0.020
2016,1,VA,web,lenient,75,0.019,0.014
2016,1,VA,web,stringent,50,0.010,0.010
2016,1,VA,web,stringent,75,0.006,0.008
2016,1,VT,tv,lenient,50,0.000,0.000
2016,1,VT,tv,lenient,75,0.000,0.000
2016,1,VT,tv,stringent,50,0.000,0.000
2016,1,VT,tv,stringent,75,0.000,0.000
2016,1,VT,web,lenient,50,0.024,0.015
2016,1,VT,web,lenient,75,0.022,0.013
2016,1,VT,web,stringent,50,0.002,0.015
2016,1,VT,web,stringent,75,0.000,0.013
2016,1,WA,tv,lenient,50,0.000,0.000
2016,1,WA,tv,lenient,75,0.000,0.000
2016,1,WA,tv,stringent,50,0.000,0.000
2016,1,WA,tv,stringent,75,0.000,0.000
2016,1,WA,web,lenient,50,0.022,0.027
2016,1,WA,web,lenient,75,0.014,0.014
2016,1,WA,web,stringent,50,0.011,0.013
2016,1,WA,web,stringent,75,0.006,0.006
2016,1,WI,tv,lenient,50,0.000,0.000
2016,1,WI,tv,lenient,75,0.000,0.000
2016,1,WI,tv,stringent,50,0.000,0.000
2016,1,WI,tv,stringent,75,0.000,0.000
2016,1,WI,web,lenient,50,0.019,0.036
2016,1,WI,web,lenient,75,0.012,0.029
2016,1,WI,web,stringent,50,0.010,0.008
2016,1,WI,web,stringent,75,0.004,0.004
2016,1,WV,tv,lenient,50,0.000,0.000
2016,1,WV,tv,lenient,75,0.000,0.000
2016,1,WV,tv,stringent,50,0.000,0.000
2016,1,WV,tv,stringent,75,0.000,0.000
2016,1,WV,web,lenient,50,0.010,0.024
2016,1,WV,web,lenient,75,0.003,0.009
2016,1,WV,web,stringent,50,0.003,0.014
2016,1,WV,web,stringent,75,0.003,0.008
2016,1,WY,tv,lenient,50,0.000,0.000
2016,1,WY,tv,lenient,75,0.000,0.000
2016,1,WY,tv,stringent,50,0.000,0.000
2016,1,WY,tv,stringent,75,0.000,0.000
2016,1,WY,web,lenient,50,0.003,0.004
2016,1,WY,web,lenient,75,0.001,0.003
2016,1,WY,web,stringent,50,0.000,0.003
2016,1,WY,web,stringent,75,0.000,0.002
2016,2,AK,tv,lenient,50,0.000,0.000
2016,2,AK,tv,lenient,75,0.000,0.000
2016,2,AK,tv,stringent,50,0.000,0.000
2016,2,AK,tv,stringent,75,0.000,0.000
2016,2,AK,web,lenient,50,0.004,0.018
2016,2,AK,web,lenient,75,0.002,0.002
2016,2,AK,web,stringent,50,0.002,0.000
2016,2,AK,web,stringent,75,0.000,0.000
2016,2,AL,tv,lenient,50,0.000,0.000
2016,2,AL,tv,lenient,75,0.000,0.000
2016,2,AL,tv,stringent,50,0.000,0.000
2016,2,AL,tv,stringent,75,0.000,0.000
2016,2,AL,web,lenient,50,0.013,0.027
2016,2,AL,web,lenient,75,0.003,0.012
2016,2,AL,web,stringent,50,0.002,0.013
2016,2,AL,web,stringent,75,0.001,0.009
2016,2,AR,tv,lenient,50,0.000,0.000
2016,2,AR,tv,lenient,75,0.000,0.000
2016,2,AR,tv,stringent,50,0.000,0.000
2016,2,AR,tv,stringent,75,0.000,0.000
2016,2,AR,web,lenient,50,0.020,0.021
2016,2,AR,web,lenient,75,0.017,0.012
2016,2,AR,web,stringent,50,0.011,0.014
2016,2,AR,web,stringent,75,0.009,0.005
2016,2,AZ,tv,lenient,50,0.000,0.000
2016,2,AZ,tv,lenient,75,0.000,0.000
2016,2,AZ,tv,stringent,50,0.000,0.000
