year,month,medium,gender,age_group,political_lean,partisanship_scenario,diet_threshold,value
2018,12,tv,Female,35-44,L,lenient,50,0.069
2018,12,tv,Male,45-54,L,lenient,50,0.090
2018,12,tv,Female,45-54,L,lenient,50,0.076
2018,12,tv,Male,55+,L,lenient,50,0.107
2018,12,tv,Female,55+,L,lenient,50,0.097
2019,1,tv,Male,18-24,L,lenient,50,0.042
2019,1,tv,Female,18-24,L,lenient,50,0.045
2019,1,tv,Male,25-34,L,lenient,50,0.060
2019,1,tv,Female,25-34,L,lenient,50,0.054
2019,1,tv,Male,35-44,L,lenient,50,0.075
2019,1,tv,Female,35-44,L,lenient,50,0.066
2019,1,tv,Male,45-54,L,lenient,50,0.085
2019,1,tv,Female,45-54,L,lenient,50,0.071
2019,1,tv,Male,55+,L,lenient,50,0.107
2019,1,tv,Female,55+,L,lenient,50,0.094
2019,2,tv,Male,18-24,L,lenient,50,0.039
2019,2,tv,Female,18-24,L,lenient,50,0.035
2019,2,tv,Male,25-34,L,lenient,50,0.053
2019,2,tv,Female,25-34,L,lenient,50,0.052
2019,2,tv,Male,35-44,L,lenient,50,0.072
2019,2,tv,Female,35-44,L,lenient,50,0.062
2019,2,tv,Male,45-54,L,lenient,50,0.087
2019,2,tv,Female,45-54,L,lenient,50,0.068
2019,2,tv,Male,55+,L,lenient,50,0.103
2019,2,tv,Female,55+,L,lenient,50,0.095
2019,3,tv,Male,18-24,L,lenient,50,0.041
2019,3,tv,Female,18-24,L,lenient,50,0.039
2019,3,tv,Male,25-34,L,lenient,50,0.048
2019,3,tv,Female,25-34,L,lenient,50,0.040
2019,3,tv,Male,35-44,L,lenient,50,0.063
2019,3,tv,Female,35-44,L,lenient,50,0.051
2019,3,tv,Male,45-54,L,lenient,50,0.076
2019,3,tv,Female,45-54,L,lenient,50,0.062
2019,3,tv,Male,55+,L,lenient,50,0.096
2019,3,tv,Female,55+,L,lenient,50,0.085
2019,4,tv,Male,18-24,L,lenient,50,0.034
2019,4,tv,Female,18-24,L,lenient,50,0.027
2019,4,tv,Male,25-34,L,lenient,50,0.044
2019,4,tv,Female,25-34,L,lenient,50,0.041
2019,4,tv,Male,35-44,L,lenient,50,0.061
2019,4,tv,Female,35-44,L,lenient,50,0.049
2019,4,tv,Male,45-54,L,lenient,50,0.072
2019,4,tv,Female,45-54,L,lenient,50,0.060
2019,4,tv,Male,55+,L,lenient,50,0.095
2019,4,tv,Female,55+,L,lenient,50,0.085
2019,5,tv,Male,18-24,L,lenient,50,0.041
2019,5,tv,Female,18-24,L,lenient,50,0.034
2019,5,tv,Male,25-34,L,lenient,50,0.037
2019,5,tv,Female,25-34,L,lenient,50,0.036
2019,5,tv,Male,35-44,L,lenient,50,0.053
2019,5,tv,Female,35-44,L,lenient,50,0.047
2019,5,tv,Male,45-54,L,lenient,50,0.069
2019,5,tv,Female,45-54,L,lenient,50,0.058
2019,5,tv,Male,55+,L,lenient,50,0.093
2019,5,tv,Female,55+,L,lenient,50,0.082
2019,6,tv,Male,18-24,L,lenient,50,0.041
2019,6,tv,Female,18-24,L,lenient,50,0.037
2019,6,tv,Male,25-34,L,lenient,50,0.047
2019,6,tv,Female,25-34,L,lenient,50,0.042
2019,6,tv,Male,35-44,L,lenient,50,0.062
2019,6,tv,Female,35-44,L,lenient,50,0.049
2019,6,tv,Male,45-54,L,lenient,50,0.066
2019,6,tv,Female,45-54,L,lenient,50,0.057
2019,6,tv,Male,55+,L,lenient,50,0.092
2019,6,tv,Female,55+,L,lenient,50,0.083
2019,7,tv,Male,18-24,L,lenient,50,0.048
2019,7,tv,Female,18-24,L,lenient,50,0.040
2019,7,tv,Male,25-34,L,lenient,50,0.053
2019,7,tv,Female,25-34,L,lenient,50,0.049
2019,7,tv,Male,35-44,L,lenient,50,0.078
2019,7,tv,Female,35-44,L,lenient,50,0.063
2019,7,tv,Male,45-54,L,lenient,50,0.080
2019,7,tv,Female,45-54,L,lenient,50,0.068
2019,7,tv,Male,55+,L,lenient,50,0.102
2019,7,tv,Female,55+,L,lenient,50,0.091
2019,8,tv,Male,18-24,L,lenient,50,0.036
2019,8,tv,Female,18-24,L,lenient,50,0.036
2019,8,tv,Male,25-34,L,lenient,50,0.043
2019,8,tv,Female,25-34,L,lenient,50,0.042
2019,8,tv,Male,35-44,L,lenient,50,0.066
2019,8,tv,Female,35-44,L,lenient,50,0.054
