year,month,medium,gender,age_group,ethnicity,political_lean,partisanship_scenario,diet_threshold,value
2016,10,tv,Female,45-54,All,L,lenient,50,0.086
2016,10,tv,Male,55+,All,L,lenient,50,0.117
2016,10,tv,Female,55+,All,L,lenient,50,0.106
2016,11,tv,Male,18-24,All,L,lenient,50,0.108
2016,11,tv,Female,18-24,All,L,lenient,50,0.083
2016,11,tv,Male,25-34,All,L,lenient,50,0.138
2016,11,tv,Female,25-34,All,L,lenient,50,0.115
2016,11,tv,Male,35-44,All,L,lenient,50,0.136
2016,11,tv,Female,35-44,All,L,lenient,50,0.108
2016,11,tv,Male,45-54,All,L,lenient,50,0.123
2016,11,tv,Female,45-54,All,L,lenient,50,0.096
2016,11,tv,Male,55+,All,L,lenient,50,0.125
2016,11,tv,Female,55+,All,L,lenient,50,0.109
2016,12,tv,Male,18-24,All,L,lenient,50,0.056
2016,12,tv,Female,18-24,All,L,lenient,50,0.046
2016,12,tv,Male,25-34,All,L,lenient,50,0.065
2016,12,tv,Female,25-34,All,L,lenient,50,0.057
2016,12,tv,Male,35-44,All,L,lenient,50,0.071
2016,12,tv,Female,35-44,All,L,lenient,50,0.059
2016,12,tv,Male,45-54,All,L,lenient,50,0.076
2016,12,tv,Female,45-54,All,L,lenient,50,0.062
2016,12,tv,Male,55+,All,L,lenient,50,0.086
2016,12,tv,Female,55+,All,L,lenient,50,0.073
2017,1,tv,Male,18-24,All,L,lenient,50,0.075
2017,1,tv,Female,18-24,All,L,lenient,50,0.069
2017,1,tv,Male,25-34,All,L,lenient,50,0.095
2017,1,tv,Female,25-34,All,L,lenient,50,0.081
2017,1,tv,Male,35-44,All,L,lenient,50,0.096
2017,1,tv,Female,35-44,All,L,lenient,50,0.075
2017,1,tv,Male,45-54,All,L,lenient,50,0.092
2017,1,tv,Female,45-54,All,L,lenient,50,0.080
2017,1,tv,Male,55+,All,L,lenient,50,0.108
2017,1,tv,Female,55+,All,L,lenient,50,0.093
2017,2,tv,Male,18-24,All,L,lenient,50,0.071
2017,2,tv,Female,18-24,All,L,lenient,50,0.055
2017,2,tv,Male,25-34,All,L,lenient,50,0.085
2017,2,tv,Female,25-34,All,L,lenient,50,0.068
2017,2,tv,Male,35-44,All,L,lenient,50,0.094
2017,2,tv,Female,35-44,All,L,lenient,50,0.078
2017,2,tv,Male,45-54,All,L,lenient,50,0.101
2017,2,tv,Female,45-54,All,L,lenient,50,0.079
2017,2,tv,Male,55+,All,L,lenient,50,0.110
2017,2,tv,Female,55+,All,L,lenient,50,0.097
2017,3,tv,Male,18-24,All,L,lenient,50,0.063
2017,3,tv,Female,18-24,All,L,lenient,50,0.051
2017,3,tv,Male,25-34,All,L,lenient,50,0.084
2017,3,tv,Female,25-34,All,L,lenient,50,0.063
2017,3,tv,Male,35-44,All,L,lenient,50,0.089
2017,3,tv,Female,35-44,All,L,lenient,50,0.072
2017,3,tv,Male,45-54,All,L,lenient,50,0.092
2017,3,tv,Female,45-54,All,L,lenient,50,0.083
2017,3,tv,Male,55+,All,L,lenient,50,0.115
