archetype,delta,start year,start month,end year,end month
Partisan Cable (right),-571284,2016,1,2021,3
Partisan Cable (left),4621438,2016,1,2021,3
Spanish News,-4324190,2016,1,2021,3
Other Cable,-46899,2016,1,2021,3
No or Minimal News,50472511,2016,1,2021,4
Hard Broadcast News,-14562009,2016,1,2021,4
Soft Broadcast News,-25618559,2016,1,2021,4
Partisan Cable (right),-304456,2016,1,2021,4
Partisan Cable (left),4665245,2016,1,2021,4
Spanish News,-4097016,2016,1,2021,4
Other Cable,74811,2016,1,2021,4
No or Minimal News,55084192,2016,1,2021,5
Hard Broadcast News,-16458865,2016,1,2021,5
Soft Broadcast News,-24034550,2016,1,2021,5
Partisan Cable (right),-818925,2016,1,2021,5
Partisan Cable (left),1564153,2016,1,2021,5
Spanish News,-4141988,2016,1,2021,5
Other Cable,-523855,2016,1,2021,5
No or Minimal News,57929854,2016,1,2021,6
Hard Broadcast News,-18868812,2016,1,2021,6
Soft Broadcast News,-23857263,2016,1,2021,6
Partisan Cable (right),-972979,2016,1,2021,6
Partisan Cable (left),1073290,2016,1,2021,6
Spanish News,-4100885,2016,1,2021,6
Other Cable,-482988,2016,1,2021,6
No or Minimal News,59483923,2016,1,2021,7
Hard Broadcast News,-18338191,2016,1,2021,7
Soft Broadcast News,-22792229,2016,1,2021,7
Partisan Cable (right),-1686450,2016,1,2021,7
Partisan Cable (left),783762,2016,1,2021,7
Spanish News,-4220988,2016,1,2021,7
Other Cable,-2594912,2016,1,2021,7
No or Minimal News,55102929,2016,1,2021,8
Hard Broadcast News,-16881357,2016,1,2021,8
Soft Broadcast News,-23489115,2016,1,2021,8
Partisan Cable (right),1778057,2016,1,2021,8
Partisan Cable (left),1816884,2016,1,2021,8
Spanish News,-4645615,2016,1,2021,8
Other Cable,-2892094,2016,1,2021,8
No or Minimal News,58012934,2016,1,2021,9
Hard Broadcast News,-15914510,2016,1,2021,9
Soft Broadcast News,-23012230,2016,1,2021,9
Partisan Cable (right),1254175,2016,1,2021,9
Partisan Cable (left),267988,2016,1,2021,9
Spanish News,-4512809,2016,1,2021,9
Other Cable,-2093653,2016,1,2021,9
No or Minimal News,56873600,2016,1,2021,10
Hard Broadcast News,-12709060,2016,1,2021,10
Soft Broadcast News,-23039365,2016,1,2021,10
Partisan Cable (right),554273,2016,1,2021,10
Partisan Cable (left),-2205186,2016,1,2021,10
Spanish News,-4481838,2016,1,2021,10
Other Cable,-1117117,2016,1,2021,10
No or Minimal News,57043515,2016,1,2021,11
Hard Broadcast News,-14706884,2016,1,2021,11
Soft Broadcast News,-23062952,2016,1,2021,11
Partisan Cable (right),2406985,2016,1,2021,11
Partisan Cable (left),-2113923,2016,1,2021,11
Spanish News,-4612553,2016,1,2021,11
Other Cable,-1007748,2016,1,2021,11
No or Minimal News,56265331,2016,1,2021,12
Hard Broadcast News,-13779301,2016,1,2021,12
Soft Broadcast News,-22412484,2016,1,2021,12
Partisan Cable (right),636686,2016,1,2021,12
Partisan Cable (left),-1088111,2016,1,2021,12
Spanish News,-4362325,2016,1,2021,12
Other Cable,-1304502,2016,1,2021,12
No or Minimal News,53616467,2016,1,2022,1
Hard Broadcast News,-10190015,2016,1,2022,1
Soft Broadcast News,-23061087,2016,1,2022,1
Partisan Cable (right),662961,2016,1,2022,1
Partisan Cable (left),-2653011,2016,1,2022,1
Spanish News,-4269866,2016,1,2022,1
Other Cable,-143039,2016,1,2022,1
No or Minimal News,57113002,2016,1,2022,2
Hard Broadcast News,-17680752,2016,1,2022,2
Soft Broadcast News,-23904636,2016,1,2022,2
Partisan Cable (right),3919216,2016,1,2022,2
Partisan Cable (left),2101651,2016,1,2022,2
Spanish News,-4832099,2016,1,2022,2
Other Cable,-2671324,2016,1,2022,2
No or Minimal News,53087395,2016,1,2022,3
Hard Broadcast News,-15217645,2016,1,2022,3
Soft Broadcast News,-25521059,2016,1,2022,3
Partisan Cable (right),5209226,2016,1,2022,3
Partisan Cable (left),2923651,2016,1,2022,3
Spanish News,-4562672,2016,1,2022,3
