year,month,variable,archetype,value
2016,2,sizes,CNN+MSNBC,20403246.46432
2016,3,sizes,CNN+MSNBC,25070144.80642
2016,4,sizes,CNN+MSNBC,20741086.63332
2016,5,sizes,CNN+MSNBC,18861615.32257
2016,6,sizes,CNN+MSNBC,21195945.36666
2016,7,sizes,CNN+MSNBC,29054487.61295
2016,8,sizes,CNN+MSNBC,20269461.80644
2016,9,sizes,CNN+MSNBC,23384887.66669
2016,10,sizes,CNN+MSNBC,26228104.45168
2016,11,sizes,CNN+MSNBC,31738088.23328
2016,12,sizes,CNN+MSNBC,18452340.03229
2017,1,sizes,CNN+MSNBC,24192028.03228
2017,2,sizes,CNN+MSNBC,23119607.99999
2017,3,sizes,CNN+MSNBC,22808866.58066
2017,4,sizes,CNN+MSNBC,23596371.10004
2017,5,sizes,CNN+MSNBC,23982104.90325
2017,6,sizes,CNN+MSNBC,23403852.59995
2017,7,sizes,CNN+MSNBC,23526679.87091
2017,8,sizes,CNN+MSNBC,26574730.03226
2017,9,sizes,CNN+MSNBC,28793582.83336
2017,10,sizes,CNN+MSNBC,24645065.42858
2017,11,sizes,CNN+MSNBC,22858634.30001
2017,12,sizes,CNN+MSNBC,24004581.58066
2018,1,sizes,CNN+MSNBC,22458510.58065
2018,2,sizes,CNN+MSNBC,21873692.96425
2018,3,sizes,CNN+MSNBC,21942522.67739
2018,4,sizes,CNN+MSNBC,22098724.13333
2018,5,sizes,CNN+MSNBC,21574360.93545
2018,6,sizes,CNN+MSNBC,20350884.70005
2018,7,sizes,CNN+MSNBC,21359726.25807
2018,8,sizes,CNN+MSNBC,22459461.48391
2018,9,sizes,CNN+MSNBC,24230403.53332
2018,10,sizes,CNN+MSNBC,22100105.16133
2018,11,sizes,CNN+MSNBC,24846559.43333
2018,12,sizes,CNN+MSNBC,23648159.45160
2019,1,sizes,CNN+MSNBC,23994114.87097
2019,2,sizes,CNN+MSNBC,22100070.07143
2019,3,sizes,CNN+MSNBC,20410023.00000
2019,4,sizes,CNN+MSNBC,19693474.63333
2019,5,sizes,CNN+MSNBC,19035862.09677
2019,6,sizes,CNN+MSNBC,19291782.36667
2019,7,sizes,CNN+MSNBC,22534706.12903
2019,8,sizes,CNN+MSNBC,20636309.96774
2019,9,sizes,CNN+MSNBC,21178805.50000
2019,10,sizes,CNN+MSNBC,23019068.58065
2019,11,sizes,CNN+MSNBC,22628641.33333
2019,12,sizes,CNN+MSNBC,22315206.80645
2020,1,sizes,CNN+MSNBC,24852044.70968
2020,2,sizes,CNN+MSNBC,21602066.24138
2020,3,sizes,CNN+MSNBC,30801303.38710
2020,4,sizes,CNN+MSNBC,28132927.46667
2020,5,sizes,CNN+MSNBC,27785630.16129
2020,6,sizes,CNN+MSNBC,27575695.86667
2020,7,sizes,CNN+MSNBC,24909149.67742
2020,8,sizes,CNN+MSNBC,27025957.83871
2020,9,sizes,CNN+MSNBC,25798900.63333
2020,10,sizes,CNN+MSNBC,28460191.03226
2020,11,sizes,CNN+MSNBC,40700978.43333
2020,12,sizes,CNN+MSNBC,27816403.19355
2021,1,sizes,CNN+MSNBC,38369115.00000
2021,2,sizes,CNN+MSNBC,28112113.96429
2021,3,sizes,CNN+MSNBC,22506860.03226
2021,4,sizes,CNN+MSNBC,22454772.46667
2021,5,sizes,CNN+MSNBC,19601996.45161
2021,6,sizes,CNN+MSNBC,18767968.20000
2021,7,sizes,CNN+MSNBC,18995279.38710
2021,8,sizes,CNN+MSNBC,19856547.32258
2021,9,sizes,CNN+MSNBC,18234197.46667
2021,10,sizes,CNN+MSNBC,15914511.19355
2021,11,sizes,CNN+MSNBC,15809337.66667
2021,12,sizes,CNN+MSNBC,17024092.90323
2022,1,sizes,CNN+MSNBC,15186943.93548
2022,2,sizes,CNN+MSNBC,20099749.96429
2022,3,sizes,CNN+MSNBC,21029422.61290
2022,4,sizes,CNN+MSNBC,16589029.26667
2022,5,sizes,CNN+MSNBC,16204450.48387
2022,6,sizes,CNN+MSNBC,18120844.23333
2022,7,sizes,CNN+MSNBC,17586316.61290
2022,8,sizes,CNN+MSNBC,17260288.41935
2022,9,sizes,CNN+MSNBC,18952107.86667
2022,10,sizes,CNN+MSNBC,16453130.74194
2016,1,sizes,Spanish News,16002388.54835
2016,2,sizes,Spanish News,14752996.85712
2016,3,sizes,Spanish News,14097140.77420
2016,4,sizes,Spanish News,13984396.06666
2016,5,sizes,Spanish News,13823124.48388
2016,6,sizes,Spanish News,13816885.26663
2016,7,sizes,Spanish News,13441689.45158
2016,8,sizes,Spanish News,14030276.41936
2016,9,sizes,Spanish News,14464957.66667
2016,10,sizes,Spanish News,14434546.64517
2016,11,sizes,Spanish News,15107499.23331
2016,12,sizes,Spanish News,14162336.09679
2017,1,sizes,Spanish News,14952718.54840
2017,2,sizes,Spanish News,14446392.14286
2017,3,sizes,Spanish News,14224115.12906
2017,4,sizes,Spanish News,13768186.43333
2017,5,sizes,Spanish News,13533020.22583
2017,6,sizes,Spanish News,13321432.83334
2017,7,sizes,Spanish News,12955036.38711
2017,8,sizes,Spanish News,13424765.77421
2017,9,sizes,Spanish News,15096151.49999
2017,10,sizes,Spanish News,13634501.82858
2017,11,sizes,Spanish News,13469150.43332
2017,12,sizes,Spanish News,13349197.45161
2018,1,sizes,Spanish News,14182591.93548
2018,2,sizes,Spanish News,13479627.85716
2018,3,sizes,Spanish News,13545988.03223
2018,4,sizes,Spanish News,13393403.86668
2018,5,sizes,Spanish News,13272081.12905
2018,6,sizes,Spanish News,13775217.10000
2018,7,sizes,Spanish News,13237924.38707
2018,8,sizes,Spanish News,12354072.06453
2018,9,sizes,Spanish News,13068803.90000
2018,10,sizes,Spanish News,12772693.90322
2018,11,sizes,Spanish News,13244672.90004
2018,12,sizes,Spanish News,12722048.45161
2019,1,sizes,Spanish News,13340568.51613
2019,2,sizes,Spanish News,13338696.03571
2019,3,sizes,Spanish News,12785064.80645
2019,4,sizes,Spanish News,12762530.30000
2019,5,sizes,Spanish News,12851243.48387
2019,6,sizes,Spanish News,12772952.56667
2019,7,sizes,Spanish News,12754180.64516
2019,8,sizes,Spanish News,12714531.51613
2019,9,sizes,Spanish News,13203350.73333
2019,10,sizes,Spanish News,12960013.19355
2019,11,sizes,Spanish News,13185893.53333
2019,12,sizes,Spanish News,12835659.00000
2020,1,sizes,Spanish News,13458179.19355
2020,2,sizes,Spanish News,12962128.00000
2020,3,sizes,Spanish News,14341731.51613
2020,4,sizes,Spanish News,13493605.26667
2020,5,sizes,Spanish News,12404581.29032
2020,6,sizes,Spanish News,11907535.06667
2020,7,sizes,Spanish News,11755094.35484
2020,8,sizes,Spanish News,11773768.51613
2020,9,sizes,Spanish News,11541343.10000
2020,10,sizes,Spanish News,11290058.51613
2020,11,sizes,Spanish News,12325445.26667
2020,12,sizes,Spanish News,11778107.54839
2021,1,sizes,Spanish News,12064359.06452
2021,2,sizes,Spanish News,10490525.07143
2021,3,sizes,Spanish News,11497039.41935
2021,4,sizes,Spanish News,11855331.46667
2021,5,sizes,Spanish News,11623496.25806
2021,6,sizes,Spanish News,11868315.63333
2021,7,sizes,Spanish News,11338679.16129
2021,8,sizes,Spanish News,11154315.70968
2021,9,sizes,Spanish News,11429846.86667
2021,10,sizes,Spanish News,11447299.96774
2021,11,sizes,Spanish News,11214678.10000
2021,12,sizes,Spanish News,11626558.80645
2022,1,sizes,Spanish News,11605246.16129
2022,2,sizes,Spanish News,11128530.57143
2022,3,sizes,Spanish News,11341809.22581
2022,4,sizes,Spanish News,10333662.40000
2022,5,sizes,Spanish News,10681096.74194
2022,6,sizes,Spanish News,10205288.90000
2022,7,sizes,Spanish News,9968995.25806
2022,8,sizes,Spanish News,9716777.38710
2022,9,sizes,Spanish News,10502909.40000
2022,10,sizes,Spanish News,9964590.54839
2016,1,sizes,Other Cable,20595276.80648
2016,2,sizes,Other Cable,20703061.39286
2016,3,sizes,Other Cable,22029216.12900
2016,4,sizes,Other Cable,21015242.66667
2016,5,sizes,Other Cable,20382310.41933
2016,6,sizes,Other Cable,21593448.59997
2016,7,sizes,Other Cable,21689824.16127
2016,8,sizes,Other Cable,22188454.29033
2016,9,sizes,Other Cable,19029219.20002
2016,10,sizes,Other Cable,18042599.32258
2016,11,sizes,Other Cable,16077327.96668
2016,12,sizes,Other Cable,18585603.22583
2017,1,sizes,Other Cable,19156512.83871
2017,2,sizes,Other Cable,19303712.14286
2017,3,sizes,Other Cable,19900214.74193
2017,4,sizes,Other Cable,20720347.93333
2017,5,sizes,Other Cable,20396227.32264
2017,6,sizes,Other Cable,19509554.36661
2017,7,sizes,Other Cable,19767706.45164
2017,8,sizes,Other Cable,20424509.51611
2017,9,sizes,Other Cable,19477557.36669
2017,10,sizes,Other Cable,21298424.02856
2017,11,sizes,Other Cable,20988064.70000
2017,12,sizes,Other Cable,18556373.32259
2018,1,sizes,Other Cable,19052238.16130
2018,2,sizes,Other Cable,19310990.25003
2018,3,sizes,Other Cable,20859916.00001
2018,4,sizes,Other Cable,19899294.53332
2018,5,sizes,Other Cable,19879284.80646
2018,6,sizes,Other Cable,19322857.09999
2018,7,sizes,Other Cable,18822563.54842
2018,8,sizes,Other Cable,20143619.93555
2018,9,sizes,Other Cable,21704885.56667
2018,10,sizes,Other Cable,19129913.16125
2018,11,sizes,Other Cable,17182297.93332
2018,12,sizes,Other Cable,16803886.74193
2019,1,sizes,Other Cable,16687550.48387
2019,2,sizes,Other Cable,17316802.10714
2019,3,sizes,Other Cable,20103078.61290
2019,4,sizes,Other Cable,20662953.90000
2019,5,sizes,Other Cable,20192802.25806
2019,6,sizes,Other Cable,20381421.00000
2019,7,sizes,Other Cable,18889453.87097
2019,8,sizes,Other Cable,20247492.61290
2019,9,sizes,Other Cable,17713279.83333
2019,10,sizes,Other Cable,17107372.90323
2019,11,sizes,Other Cable,17297356.76667
2019,12,sizes,Other Cable,15777570.38710
2020,1,sizes,Other Cable,16320235.03226
2020,2,sizes,Other Cable,17170801.89655
2020,3,sizes,Other Cable,15362832.29032
2020,4,sizes,Other Cable,15491804.46667
2020,5,sizes,Other Cable,14875427.32258
2020,6,sizes,Other Cable,15434237.13333
2020,7,sizes,Other Cable,16202460.00000
2020,8,sizes,Other Cable,16244265.29032
2020,9,sizes,Other Cable,15248728.26667
2020,10,sizes,Other Cable,15049736.77419
2020,11,sizes,Other Cable,11608533.26667
2020,12,sizes,Other Cable,14642126.70968
2021,1,sizes,Other Cable,12360520.35484
2021,2,sizes,Other Cable,17088886.14286
2021,3,sizes,Other Cable,18059719.93548
2021,4,sizes,Other Cable,17992206.83333
2021,5,sizes,Other Cable,17388514.19355
2021,6,sizes,Other Cable,18766164.00000
2021,7,sizes,Other Cable,14065957.61290
2021,8,sizes,Other Cable,15071807.12903
2021,9,sizes,Other Cable,16413628.16667
2021,10,sizes,Other Cable,17427187.67742
2021,11,sizes,Other Cable,17192080.80000
2021,12,sizes,Other Cable,15126694.51613
2022,1,sizes,Other Cable,16731396.09677
2022,2,sizes,Other Cable,15533743.39286
