year,month,medium,political_lean,partisanship_scenario,diet_threshold,value
2018,3,tv,L,stringent,75,0.0013065438607858
2018,4,tv,L,stringent,75,0.001392510754406
2018,5,tv,L,stringent,75,0.0008945146030965
2018,6,tv,L,stringent,75,0.0017025874918656
2018,7,tv,L,stringent,75,0.0016662762609336
2018,8,tv,L,stringent,75,0.0012715814682943
2018,9,tv,L,stringent,75,0.0019026998790238
2018,10,tv,L,stringent,75,0.0012761666847556
2018,11,tv,L,stringent,75,0.0026230607786841
2018,12,tv,L,stringent,75,0.001955703230934
2019,1,tv,L,stringent,75,0.0011058475830469
2019,2,tv,L,stringent,75,0.0013882876425798
2019,3,tv,L,stringent,75,0.0021881943517918
2019,4,tv,L,stringent,75,0.0019212440701316
2019,5,tv,L,stringent,75,0.0016873285872928
2019,6,tv,L,stringent,75,0.0017171957493412
2019,7,tv,L,stringent,75,0.001555394524022
2019,8,tv,L,stringent,75,0.0013583099210563
2019,9,tv,L,stringent,75,0.0016490449408404
2019,10,tv,L,stringent,75,0.0012027479790492
2019,11,tv,L,stringent,75,0.0012438350196573
2019,12,tv,L,stringent,75,0.0012582845428321
2020,1,tv,L,stringent,75,0.0018023527502273
2020,2,tv,L,stringent,75,0.0013107609899542
2020,3,tv,L,stringent,75,0.0016156912078002
2020,4,tv,L,stringent,75,0.0006100303484235
2020,5,tv,L,stringent,75,0.0010079165316697
2020,6,tv,L,stringent,75,0.0031324612550011
2020,7,tv,L,stringent,75,0.0015078452982543
2020,8,tv,L,stringent,75,0.0021389083925176
2020,9,tv,L,stringent,75,0.0024745362057997
2020,10,tv,L,stringent,75,0.0024858290096307
2020,11,tv,L,stringent,75,0.0045952344906557
2020,12,tv,L,stringent,75,0.0014822087395841
2021,1,tv,L,stringent,75,0.0017718287988562
2021,2,tv,L,stringent,75,0.0027749118625664
2021,3,tv,L,stringent,75,0.0008339057886116
2021,4,tv,L,stringent,75,0.0014100312088503
2021,5,tv,L,stringent,75,0.001774387889716
2021,6,tv,L,stringent,75,0.0017495084244452
2021,7,tv,L,stringent,75,0.0017062114369434
2021,8,tv,L,stringent,75,0.0018484440508504
2021,9,tv,L,stringent,75,0.0008746743877699
2021,10,tv,L,stringent,75,0.0006983108483506
2021,11,tv,L,stringent,75,0.0010915364844479
2021,12,tv,L,stringent,75,0.0010005771209422
2022,1,tv,L,stringent,75,0.0008231499616051
2022,2,tv,L,stringent,75,0.0007823449034731
2022,3,tv,L,stringent,75,0.0015558437064115
2022,4,tv,L,stringent,75,0.0014039709258834
2022,5,tv,L,stringent,75,0.0013821709750866
2022,6,tv,L,stringent,75,0.000675599181756
2022,7,tv,L,stringent,75,0.0011257955806122
2022,8,tv,L,stringent,75,0.0009871827736894
2022,9,tv,L,stringent,75,0.0013630526390107
2022,10,tv,L,stringent,75,0.0012812622338738
2016,1,tv,R,lenient,75,0.035874607955722
2016,2,tv,R,lenient,75,0.0296973096795734
2016,3,tv,R,lenient,75,0.0398630120395725
2016,4,tv,R,lenient,75,0.034370552612808
2016,5,tv,R,lenient,75,0.0333463695188187
2016,6,tv,R,lenient,75,0.0383274036325491
2016,7,tv,R,lenient,75,0.045192989052439
2016,8,tv,R,lenient,75,0.0401000871433538
2016,9,tv,R,lenient,75,0.0394539893708394
2016,10,tv,R,lenient,75,0.0408272332027011
2016,11,tv,R,lenient,75,0.0546221700586735
2016,12,tv,R,lenient,75,0.0455977831657326
2017,1,tv,R,lenient,75,0.0536542305662307
