state,program,network,period,value,medium
IA,CNN NEWSROOM,CNN,last 6 months,82524,tv
IA,60 MINUTES,CBS  Affiliates,last 6 months,81909,tv
NM,TODAY SHOW,NBC Affiliates,last 6 months,80695,tv
IA,HANNITY,FOXNC,last 6 months,80648,tv
CO,CBS EVENING NEWS,CBS  Affiliates,last 6 months,80405,tv
NV,TODAY SHOW,NBC Affiliates,last 6 months,80260,tv
AR,CBS EVENING NEWS,CBS  Affiliates,last 6 months,80077,tv
OK,20/20-FRI,ABC Affiliates,last 6 months,79910,tv
UT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,78589,tv
CT,CBS SATURDAY MORNING,CBS  Affiliates,last 6 months,78283,tv
IA,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,78049,tv
IA,FOX AND FRIENDS,FOXNC,last 6 months,78024,tv
HI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,77802,tv
NE,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,77562,tv
CT,CBS EVENING NEWS,CBS  Affiliates,last 6 months,76912,tv
KS,TODAY SHOW,NBC Affiliates,last 6 months,76899,tv
OR,CNN NEWSROOM,CNN,last 6 months,76879,tv
CT,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,76698,tv
MS,60 MINUTES,CBS  Affiliates,last 6 months,76573,tv
NE,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,75561,tv
VT,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,74534,tv
KS,CBS EVENING NEWS,CBS  Affiliates,last 6 months,74196,tv
UT,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,73625,tv
SD,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,72781,tv
AR,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,71610,tv
AR,20/20-FRI,ABC Affiliates,last 6 months,71223,tv
WV,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,70317,tv
CO,SUNDAY MORNING,CBS  Affiliates,last 6 months,70118,tv
AR,JESSE WATTERS PRIMETIME,FOXNC,last 6 months,69341,tv
AR,SPECIAL RPT W/BRET BAIER,FOXNC,last 6 months,68842,tv
NM,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,68628,tv
NV,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,68333,tv
MS,TODAY THIRD HOUR,NBC Affiliates,last 6 months,67984,tv
KS,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,67804,tv
RI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,67680,tv
MT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,65606,tv
ME,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,65439,tv
NE,"INGRAHAM ANGLE, THE",FOXNC,last 6 months,65422,tv
NE,HANNITY,FOXNC,last 6 months,65234,tv
ME,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,64880,tv
NE,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,64611,tv
VT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,64408,tv
MT,TODAY SHOW,NBC Affiliates,last 6 months,62984,tv
NM,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,62626,tv
NM,CBS EVENING NEWS,CBS  Affiliates,last 6 months,62422,tv
NM,60 MINUTES,CBS  Affiliates,last 6 months,61892,tv
NV,HANNITY,FOXNC,last 6 months,61490,tv
NV,"INGRAHAM ANGLE, THE",FOXNC,last 6 months,60453,tv
KS,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,60298,tv
SD,FS FILES MON 7P,Court TV Mystery,last 6 months,60109,tv
ME,60 MINUTES,CBS  Affiliates,last 6 months,58493,tv
MS,CBS EVENING NEWS,CBS  Affiliates,last 6 months,57408,tv
NV,DEADLINE:WHITE HOUSE,MSNBC,last 6 months,57069,tv
NV,AMERICA REPORTS,FOXNC,last 6 months,57038,tv
NE,GUTFELD!,FOXNC,last 6 months,56288,tv
UT,TODAY SHOW,NBC Affiliates,last 6 months,56176,tv
OR,TODAY SHOW,NBC Affiliates,last 6 months,56006,tv
OR,PBS NEWSHOUR,All PBS Stations,last 6 months,54846,tv
NE,SPECIAL RPT W/BRET BAIER,FOXNC,last 6 months,54803,tv
MS,DATELINE: SECRETS UNCOVRD,OXYG,last 6 months,54237,tv
OR,HANNITY,FOXNC,last 6 months,54059,tv
OR,60 MINUTES,CBS  Affiliates,last 6 months,53835,tv
UT,HANNITY,FOXNC,last 6 months,53730,tv
RI,TODAY THIRD HOUR,NBC Affiliates,last 6 months,53490,tv
OR,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,52850,tv
OR,PBS NEWSHOUR,PBS Primary Network Affiliates,last 6 months,52727,tv
WV,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,52636,tv
NM,CNN NEWSROOM,CNN,last 6 months,51826,tv
NE,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,51709,tv
UT,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,51255,tv
MS,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,51221,tv
KS,DATELINE: SECRETS UNCOVRD,OXYG,last 6 months,51109,tv
NE,JESSE WATTERS PRIMETIME,FOXNC,last 6 months,50913,tv
ID,HANNITY,FOXNC,last 6 months,50839,tv
ND,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,49736,tv
ID,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,49450,tv
NE,AMERICA REPORTS,FOXNC,last 6 months,49336,tv
UT,"INGRAHAM ANGLE, THE",FOXNC,last 6 months,49252,tv
ID,"INGRAHAM ANGLE, THE",FOXNC,last 6 months,49036,tv
KS,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,48769,tv
UT,60 MINUTES,CBS  Affiliates,last 6 months,48558,tv
DE,60 MINUTES,CBS  Affiliates,last 6 months,48373,tv
DE,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,47642,tv
KS,CNN NEWSROOM,CNN,last 6 months,47401,tv
RI,CBS SATURDAY MORNING,CBS  Affiliates,last 6 months,47367,tv
MT,SUNDAY MORNING,CBS  Affiliates,last 6 months,47161,tv
HI,CBS EVENING NEWS,CBS  Affiliates,last 6 months,46270,tv
NM,GMA NSNA,ABC Affiliates,last 6 months,45441,tv
HI,CNN NEWSROOM,CNN,last 6 months,45360,tv
WV,TODAY THIRD HOUR,NBC Affiliates,last 6 months,44593,tv
RI,CBS EVENING NEWS,CBS  Affiliates,last 6 months,44308,tv
ME,NBC NITELY NEWS-SUN,NBC Affiliates,last 6 months,43700,tv
RI,TODAY HODA & JENNA,NBC Affiliates,last 6 months,43630,tv
ME,DATELINE: SECRETS UNCOVRD,OXYG,last 6 months,43574,tv
WV,NBC-NITELY-NEWS,NBC Affiliates,last 6 months,43347,tv
UT,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,42821,tv
RI,60 MINUTES,CBS  Affiliates,last 6 months,42745,tv
UT,DATELINE: SECRETS UNCOVRD,OXYG,last 6 months,42423,tv
ME,CBS EVENING NEWS,CBS  Affiliates,last 6 months,42137,tv
SD,CBS EVENING NEWS,CBS  Affiliates,last 6 months,41728,tv
WV,60 MINUTES,CBS  Affiliates,last 6 months,41205,tv
UT,CBS EVENING NEWS,CBS  Affiliates,last 6 months,40137,tv
ID,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,39927,tv
ME,SATURDAY TODAY,NBC Affiliates,last 6 months,39102,tv
MT,60 MINUTES,CBS  Affiliates,last 6 months,39100,tv
WV,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,38733,tv
DE,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,38276,tv
WV,"INGRAHAM ANGLE, THE",FOXNC,last 6 months,38083,tv
WV,AMERICA REPORTS,FOXNC,last 6 months,37961,tv
VT,60 MINUTES,CBS  Affiliates,last 6 months,37736,tv
HI,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,37102,tv
ID,JESSE WATTERS PRIMETIME,FOXNC,last 6 months,36725,tv
MT,CBS EVENING NEWS,CBS  Affiliates,last 6 months,36612,tv
RI,CNN NEWSROOM,CNN,last 6 months,36539,tv
HI,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,36407,tv
SD,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,36164,tv
VT,TODAY SHOW,NBC Affiliates,last 6 months,35794,tv
DE,CNN NEWSROOM,CNN,last 6 months,35524,tv
ND,TODAY SHOW,NBC Affiliates,last 6 months,35351,tv
NH,GMA NSNA,ABC Affiliates,last 6 months,35203,tv
WY,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,34486,tv
ID,FORENSIC FILES,HLN,last 6 months,33966,tv
AK,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,33798,tv
DC,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,33292,tv
VT,NBC NITELY NEWS-SUN,NBC Affiliates,last 6 months,32767,tv
MT,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,32515,tv
NH,60 MINUTES,CBS  Affiliates,last 6 months,32137,tv
SD,60 MINUTES,CBS  Affiliates,last 6 months,32086,tv
SD,CBS SATURDAY MORNING,CBS  Affiliates,last 6 months,31951,tv
HI,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,31748,tv
VT,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,31613,tv
DE,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,31230,tv
ID,AMERICA REPORTS,FOXNC,last 6 months,31100,tv
HI,60 MINUTES,CBS  Affiliates,last 6 months,30805,tv
HI,BEAT W/ARI MELBER,MSNBC,last 6 months,30339,tv
ID,"FIVE, THE",FOXNC,last 6 months,30303,tv
ID,SPECIAL RPT W/BRET BAIER,FOXNC,last 6 months,30126,tv
NH,CNN NEWSROOM,CNN,last 6 months,30038,tv
HI,DEADLINE:WHITE HOUSE,MSNBC,last 6 months,29796,tv
VT,CBS EVENING NEWS,CBS  Affiliates,last 6 months,29790,tv
RI,SATURDAY TODAY,NBC Affiliates,last 6 months,29577,tv
MT,CBS SATURDAY MORNING,CBS  Affiliates,last 6 months,29199,tv
DE,TODAY SHOW,NBC Affiliates,last 6 months,28628,tv
SD,HANNITY,FOXNC,last 6 months,28372,tv
SD,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,27975,tv
VT,DEADLINE:WHITE HOUSE,MSNBC,last 6 months,27566,tv
DE,CBS SATURDAY MORNING,CBS  Affiliates,last 6 months,27160,tv
MT,SUNDAY-MRN,CBS  Affiliates,last 6 months,27131,tv
MT,DATELINE: SECRETS UNCOVRD,OXYG,last 6 months,26834,tv
HI,11TH HOUR W/B. WILLIAMS,MSNBC,last 6 months,26804,tv
SD,SUNDAY MORNING,CBS  Affiliates,last 6 months,26558,tv
NH,20/20-FRI,ABC Affiliates,last 6 months,25676,tv
MT,AMERICA REPORTS,FOXNC,last 6 months,25549,tv
VT,REIDOUT,MSNBC,last 6 months,25149,tv
WY,CBS EVENING NEWS,CBS  Affiliates,last 6 months,24807,tv
NH,TUCKER CARLSON TONIGHT,FOXNC,last 6 months,24800,tv
VT,BEAT W/ARI MELBER,MSNBC,last 6 months,24627,tv
NH,WNT-ABC,ABC Affiliates,last 6 months,23308,tv
DC,TODAY SHOW,NBC Affiliates,last 6 months,22591,tv
DC,TODAY HODA & JENNA,NBC Affiliates,last 6 months,22575,tv
DC,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,22075,tv
NH,HANNITY,FOXNC,last 6 months,21926,tv
AK,TODAY SHOW,NBC Affiliates,last 6 months,21863,tv
ND,60 MINUTES,CBS  Affiliates,last 6 months,21838,tv
NH,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,21600,tv
WY,CNN NEWSROOM,CNN,last 6 months,21565,tv
WY,OUTNUMBERED,FOXNC,last 6 months,21266,tv
DE,TODAY HODA & JENNA,NBC Affiliates,last 6 months,19969,tv
DE,"GOOD MORNING, AMERICA",ABC Affiliates,last 6 months,19411,tv
WY,FOX NEWS LIVE,FOXNC,last 6 months,18876,tv
DC,60 MINUTES,CBS  Affiliates,last 6 months,18823,tv
DE,TODAY THIRD HOUR,NBC Affiliates,last 6 months,18562,tv
DC,TODAY THIRD HOUR,NBC Affiliates,last 6 months,18502,tv
AK,COURT TV LIVE 9A,Court TV,last 6 months,17588,tv
WY,AMERICA REPORTS,FOXNC,last 6 months,17463,tv
DC,CNN NEWSROOM,CNN,last 6 months,17271,tv
WY,"STORY, THE",FOXNC,last 6 months,16565,tv
WY,HOW IT REALLY HAPPENED,HLN,last 6 months,16371,tv
WY,NBC NIGHTLY NEWS,NBC Affiliates,last 6 months,15696,tv
WY,VENGEANCE: KILLER LOVERS,HLN,last 6 months,15455,tv
AK,60 MINUTES,CBS  Affiliates,last 6 months,15257,tv
ND,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,13998,tv
ND,NBC NITELY NEWS-SUN,NBC Affiliates,last 6 months,13652,tv
DC,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 6 months,13548,tv
AK,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,13356,tv
DC,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 6 months,13194,tv
ND,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 6 months,12554,tv
ND,TODAY HODA & JENNA,NBC Affiliates,last 6 months,12205,tv
ND,NBC-NITELY-NEWS,NBC Affiliates,last 6 months,12098,tv
ND,TONIGHT SHOW,NBC Affiliates,last 6 months,12047,tv
DC,NEW DAY,CNN,last 6 months,10811,tv
ND,CBS SATURDAY MORNING,CBS  Affiliates,last 6 months,10619,tv
AK,11TH HOUR W/B. WILLIAMS,MSNBC,last 6 months,7298,tv
AK,LAST WORD W/ L. ODONNELL,MSNBC,last 6 months,7298,tv
AK,NBC-NITELY-NEWS,NBC Affiliates,last 6 months,6679,tv
AK,ALL IN W/ CHRIS HAYES,MSNBC,last 6 months,6670,tv
AK,NEWSNATION: RUSH HOUR,NewsNation,last 6 months,6526,tv
CA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,468093,tv
NY,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,449473,tv
TX,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,447422,tv
FL,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,428309,tv
CA,CNN NEWSROOM,CNN,last 12 months,396183,tv
CA,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,385163,tv
TX,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,377463,tv
FL,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,376844,tv
TX,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,373840,tv
PA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,368651,tv
NY,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,351679,tv
NY,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,332383,tv
CA,NOTICIERO UNIVISION,Univision Affiliates,last 12 months,328977,tv
FL,TODAY SHOW,NBC Affiliates,last 12 months,302719,tv
TX,60 MINUTES,CBS  Affiliates,last 12 months,300517,tv
IL,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,300146,tv
MI,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,294954,tv
TX,TODAY SHOW,NBC Affiliates,last 12 months,291621,tv
CA,PRIMER IMPACTO,Univision Affiliates,last 12 months,281299,tv
NC,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,277740,tv
NY,TODAY SHOW,NBC Affiliates,last 12 months,277470,tv
TX,NOTICIERO UNIVISION,Univision Affiliates,last 12 months,272156,tv
CA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,271284,tv
NY,60 MINUTES,CBS  Affiliates,last 12 months,271253,tv
TX,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,270815,tv
PA,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,270645,tv
NY,CNN NEWSROOM,CNN,last 12 months,269905,tv
PA,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,269834,tv
NY,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,263273,tv
OH,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,258409,tv
CA,60 MINUTES,CBS  Affiliates,last 12 months,256932,tv
NJ,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,254868,tv
FL,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,254012,tv
FL,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,252380,tv
FL,60 MINUTES,CBS  Affiliates,last 12 months,251616,tv
FL,CNN NEWSROOM,CNN,last 12 months,248176,tv
OH,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,248040,tv
OH,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,245147,tv
GA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,241545,tv
NC,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,241477,tv
CA,TODAY SHOW,NBC Affiliates,last 12 months,227331,tv
CA,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,222762,tv
TX,CNN NEWSROOM,CNN,last 12 months,220356,tv
TN,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,220013,tv
MA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,219327,tv
VA,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,219238,tv
TX,PRIMER IMPACTO,Univision Affiliates,last 12 months,213722,tv
OH,60 MINUTES,CBS  Affiliates,last 12 months,212145,tv
VA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,209707,tv
IL,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,206787,tv
PA,60 MINUTES,CBS  Affiliates,last 12 months,204719,tv
FL,NOTICIAS TELEMUNDO,Telemundo Affiliates,last 12 months,203311,tv
CA,LAST WORD W/ L. ODONNELL,MSNBC,last 12 months,202613,tv
PA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,201053,tv
IL,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,200727,tv
OH,TODAY SHOW,NBC Affiliates,last 12 months,200428,tv
NY,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,194746,tv
MI,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,194706,tv
VA,TODAY SHOW,NBC Affiliates,last 12 months,193407,tv
TX,20/20-FRI,ABC Affiliates,last 12 months,192542,tv
TN,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,191458,tv
PA,TODAY SHOW,NBC Affiliates,last 12 months,187064,tv
WI,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,182024,tv
FL,"FIVE, THE",FOXNC,last 12 months,178985,tv
SC,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,177660,tv
GA,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,176306,tv
FL,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,172729,tv
MO,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,171556,tv
IL,60 MINUTES,CBS  Affiliates,last 12 months,170163,tv
NY,CBS EVENING NEWS,CBS  Affiliates,last 12 months,168463,tv
NC,TODAY SHOW,NBC Affiliates,last 12 months,167873,tv
LA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,167145,tv
NY,LAST WORD W/ L. ODONNELL,MSNBC,last 12 months,166549,tv
TN,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,164902,tv
MI,60 MINUTES,CBS  Affiliates,last 12 months,164762,tv
NC,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,163527,tv
IL,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,161171,tv
VA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,157700,tv
MO,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,157375,tv
IN,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,157207,tv
MI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,156017,tv
PA,CNN NEWSROOM,CNN,last 12 months,154489,tv
OH,CBS EVENING NEWS,CBS  Affiliates,last 12 months,152803,tv
NJ,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,151715,tv
MI,TODAY SHOW,NBC Affiliates,last 12 months,151621,tv
NC,60 MINUTES,CBS  Affiliates,last 12 months,146163,tv
IL,TODAY SHOW,NBC Affiliates,last 12 months,142106,tv
NC,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,141706,tv
NJ,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,140786,tv
OH,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,136530,tv
MA,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,136234,tv
GA,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,132841,tv
MA,60 MINUTES,CBS  Affiliates,last 12 months,130055,tv
IN,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,129949,tv
OH,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,129414,tv
OK,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,129025,tv
SC,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,128666,tv
NJ,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,128481,tv
NC,CNN NEWSROOM,CNN,last 12 months,128314,tv
MN,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,126462,tv
WA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,125563,tv
VA,60 MINUTES,CBS  Affiliates,last 12 months,125365,tv
IA,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,125098,tv
PA,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,123918,tv
VA,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,123363,tv
NJ,CNN NEWSROOM,CNN,last 12 months,123123,tv
TN,TODAY SHOW,NBC Affiliates,last 12 months,122250,tv
GA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,121786,tv
PA,20/20-FRI,ABC Affiliates,last 12 months,121745,tv
WI,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,121735,tv
NJ,60 MINUTES,CBS  Affiliates,last 12 months,120004,tv
PA,"FIVE, THE",FOXNC,last 12 months,119660,tv
MD,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,119555,tv
OH,HANNITY,FOXNC,last 12 months,119402,tv
AL,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,118534,tv
KY,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,117877,tv
SC,TODAY SHOW,NBC Affiliates,last 12 months,117810,tv
OH,CNN NEWSROOM,CNN,last 12 months,115922,tv
IL,CNN NEWSROOM,CNN,last 12 months,115911,tv
MO,60 MINUTES,CBS  Affiliates,last 12 months,115149,tv
TN,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,114664,tv
TN,60 MINUTES,CBS  Affiliates,last 12 months,114277,tv
MI,"GOOD MORNING, AMERICA",ABC Affiliates,last 12 months,113842,tv
MD,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,113539,tv
IL,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,112460,tv
VA,CNN NEWSROOM,CNN,last 12 months,112369,tv
MN,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,112259,tv
WI,60 MINUTES,CBS  Affiliates,last 12 months,112105,tv
NJ,TODAY SHOW,NBC Affiliates,last 12 months,109362,tv
GA,CNN NEWSROOM,CNN,last 12 months,108867,tv
MI,CNN NEWSROOM,CNN,last 12 months,108398,tv
MI,CBS EVENING NEWS,CBS  Affiliates,last 12 months,106921,tv
KY,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,106858,tv
LA,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,105378,tv
IN,TODAY SHOW,NBC Affiliates,last 12 months,104926,tv
CT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,104916,tv
WI,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,104669,tv
CO,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,103709,tv
AL,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,102744,tv
MD,60 MINUTES,CBS  Affiliates,last 12 months,102678,tv
WI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,102172,tv
MA,CNN NEWSROOM,CNN,last 12 months,101801,tv
AZ,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,101283,tv
MO,CBS EVENING NEWS,CBS  Affiliates,last 12 months,101224,tv
IN,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,100567,tv
IL,20/20-FRI,ABC Affiliates,last 12 months,99270,tv
TN,CBS EVENING NEWS,CBS  Affiliates,last 12 months,98352,tv
GA,DATELINE: SECRETS UNCOVRD,OXYG,last 12 months,98322,tv
MA,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,96574,tv
AZ,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,95053,tv
AR,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,94567,tv
MN,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 12 months,94495,tv
TN,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 12 months,94407,tv
NJ,20/20-FRI,ABC Affiliates,last 12 months,93649,tv
NJ,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,93384,tv
IA,TODAY SHOW,NBC Affiliates,last 12 months,92488,tv
MA,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,91695,tv
NC,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,91174,tv
NC,HANNITY,FOXNC,last 12 months,91111,tv
MS,TODAY SHOW,NBC Affiliates,last 12 months,90631,tv
VA,TODAY THIRD HOUR,NBC Affiliates,last 12 months,90569,tv
MO,TODAY SHOW,NBC Affiliates,last 12 months,90286,tv
LA,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,90193,tv
IL,GMA NSNA,ABC Affiliates,last 12 months,89038,tv
TN,AMERICAS NEWSROOM,FOXNC,last 12 months,87562,tv
NJ,"FIVE, THE",FOXNC,last 12 months,86763,tv
MO,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,86232,tv
VA,TODAY HODA & JENNA,NBC Affiliates,last 12 months,85640,tv
CO,60 MINUTES,CBS  Affiliates,last 12 months,85532,tv
WA,NBC NIGHTLY NEWS,NBC Affiliates,last 12 months,85319,tv
IN,60 MINUTES,CBS  Affiliates,last 12 months,85193,tv
NC,SPECIAL RPT W/BRET BAIER,FOXNC,last 12 months,85137,tv
MN,60 MINUTES,CBS  Affiliates,last 12 months,84445,tv
AL,TODAY SHOW,NBC Affiliates,last 12 months,83404,tv
VA,TUCKER CARLSON TONIGHT,FOXNC,last 12 months,82536,tv
MA,TODAY SHOW,NBC Affiliates,last 12 months,82233,tv
MD,TODAY SHOW,NBC Affiliates,last 12 months,81864,tv
MD,CNN NEWSROOM,CNN,last 12 months,81300,tv
KY,TODAY SHOW,NBC Affiliates,last 12 months,81197,tv
AL,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 12 months,80473,tv
