state,program,network,period,value,medium
AR,60 MINUTES,CBS  Affiliates,last 3 months,202848,tv
WA,CNN NEWSROOM,CNN,last 3 months,198215,tv
WI,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,197284,tv
MS,TODAY HODA & JENNA,NBC Affiliates,last 3 months,196234,tv
IN,CBS SATURDAY MORNING,CBS  Affiliates,last 3 months,195119,tv
WA,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,193385,tv
KY,AMERICA REPORTS,FOXNC,last 3 months,192651,tv
KY,DATELINE: SECRETS UNCOVRD,OXYG,last 3 months,189853,tv
NV,CNN NEWSROOM,CNN,last 3 months,189804,tv
AZ,HANNITY,FOXNC,last 3 months,188377,tv
CT,CNN NEWSROOM,CNN,last 3 months,188211,tv
IN,CNN NEWSROOM,CNN,last 3 months,188118,tv
AZ,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,184777,tv
CO,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,183377,tv
WA,HANNITY,FOXNC,last 3 months,183223,tv
WA,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,182600,tv
MD,DATELINE: SECRETS UNCOVRD,OXYG,last 3 months,180831,tv
CO,CNN NEWSROOM,CNN,last 3 months,177161,tv
ME,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,176595,tv
OK,HANNITY,FOXNC,last 3 months,175789,tv
WA,DATELINE: SECRETS UNCOVRD,OXYG,last 3 months,175072,tv
MN,SUNDAY MORNING,CBS  Affiliates,last 3 months,174176,tv
ME,TODAY SHOW,NBC Affiliates,last 3 months,173864,tv
MD,LAST WORD W/ L. ODONNELL,MSNBC,last 3 months,173191,tv
AZ,"INGRAHAM ANGLE, THE",FOXNC,last 3 months,172649,tv
NM,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,171849,tv
NH,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,170701,tv
AZ,TODAY THIRD HOUR,NBC Affiliates,last 3 months,170066,tv
SD,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,168878,tv
OK,TUCKER CARLSON TONIGHT,FOXNC,last 3 months,168231,tv
OR,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,168118,tv
NM,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,168004,tv
IA,TODAY THIRD HOUR,NBC Affiliates,last 3 months,167137,tv
OR,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,166889,tv
CT,LATE SHOW-STEPHEN COLBERT,CBS  Affiliates,last 3 months,166574,tv
WA,CBS EVENING NEWS,CBS  Affiliates,last 3 months,166514,tv
CO,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,166058,tv
IA,CNN NEWSROOM,CNN,last 3 months,165047,tv
IA,60 MINUTES,CBS  Affiliates,last 3 months,163818,tv
NM,TODAY SHOW,NBC Affiliates,last 3 months,161390,tv
IA,HANNITY,FOXNC,last 3 months,161295,tv
CO,CBS EVENING NEWS,CBS  Affiliates,last 3 months,160809,tv
NV,TODAY SHOW,NBC Affiliates,last 3 months,160520,tv
AR,CBS EVENING NEWS,CBS  Affiliates,last 3 months,160154,tv
OK,20/20-FRI,ABC Affiliates,last 3 months,159820,tv
UT,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,157177,tv
CT,CBS SATURDAY MORNING,CBS  Affiliates,last 3 months,156565,tv
IA,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,156097,tv
IA,FOX AND FRIENDS,FOXNC,last 3 months,156047,tv
HI,CBS MORNING NEWS- 6:30AM,CBS  Affiliates,last 3 months,155603,tv
NE,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,155123,tv
CT,CBS EVENING NEWS,CBS  Affiliates,last 3 months,153825,tv
KS,TODAY SHOW,NBC Affiliates,last 3 months,153797,tv
OR,CNN NEWSROOM,CNN,last 3 months,153757,tv
CT,"GOOD MORNING, AMERICA",ABC Affiliates,last 3 months,153395,tv
MS,60 MINUTES,CBS  Affiliates,last 3 months,153145,tv
NE,ABC WORLD NEWS TONIGHT,ABC Affiliates,last 3 months,151122,tv
VT,NBC NIGHTLY NEWS,NBC Affiliates,last 3 months,149068,tv
